"version","weather","variant","iter","best_acc","best_f1","best_acc_epoch","best_f1_epoch","epochs","train_acc","val_acc","val_f1","path"
"v8","逆光","module_c_no_paired_contrastive","02","1","1","31","31","45","0.883152","0.972973","0.980247","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_paired_contrastive_逆光_20260829_225211\result_summary_iter02.json"
"v8","雨天","module_c_full","01","1","1","24","24","60","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_雨天_20260829_205332\result_summary_iter01.json"
"v8","雨天","module_c_full","02","1","1","26","26","50","0.994565","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_雨天_20260829_205332\result_summary_iter02.json"
"v8","雨天","module_c_full","03","1","1","21","21","50","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_full_雨天_20260829_205332\result_summary_iter03.json"
"v8","雨天","module_c_no_cycle","01","1","1","30","30","60","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_雨天_20260829_213218\result_summary_iter01.json"
"v8","雨天","module_c_no_cycle","02","1","1","22","22","50","0.991848","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_雨天_20260829_213218\result_summary_iter02.json"
"v8","雨天","module_c_no_cycle","03","1","1","24","24","53","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_cycle_雨天_20260829_213218\result_summary_iter03.json"
"v8","雨天","module_c_no_identity","01","1","1","39","39","60","1","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_雨天_20260829_221218\result_summary_iter01.json"
"v8","雨天","module_c_no_identity","02","1","1","19","19","50","0.994565","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_雨天_20260829_221218\result_summary_iter02.json"
"v8","雨天","module_c_no_identity","03","1","1","21","21","60","0.997283","1","1","D:\Code\Dual_D\runs\module_c_ablation_60_v8\module_c_20260829_205331\module_c_no_identity_雨天_20260829_221218\result_summary_iter03.json"
