run_dir,run,variant,domain,epochs,best_epoch,best_val_acc,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,best_train_dual_d_identity,best_train_acc_source_like,best_train_dual_d_cycle,best_train_dual_d_adv_primary,best_train_dual_d_contrastive,best_train_dual_d_adv_auxiliary,best_train_dual_d_generator_total,best_train_acc_target_like,best_train_dual_d_prototype_contrastive,best_train_dual_d_classification_feedback
runs/module_c_ablation/module_c_no_classification_feedback_雨天_iter02_20260822_082835,module_c_no_classification_feedback_雨天_iter02_20260822_082835,no_classification_feedback,雨天,25,16.0,0.6153846153846154,0.6726190476190476,0.6458333333333334,0.03044871794871795,runs/module_c_ablation/module_c_no_classification_feedback_雨天_iter02_20260822_082835/feature_embeddings.npz,0.2261311113834381,0.828125,0.2196022868156433,0.46123502403497696,3.1892077922821045,0.5971380472183228,0.511249803006649,0.7109375,1.4616343080997467,2.4703418612480164
runs/module_c_ablation/module_c_no_classification_feedback_雨天_iter03_20260822_082835,module_c_no_classification_feedback_雨天_iter03_20260822_082835,no_classification_feedback,雨天,33,24.0,0.8076923076923077,0.8389194139194139,0.8125,0.004807692307692291,runs/module_c_ablation/module_c_no_classification_feedback_雨天_iter03_20260822_082835/feature_embeddings.npz,0.21041371300816536,0.8359375,0.20947837084531784,0.8645245879888535,3.0078978538513184,0.7829432785511017,0.5055979937314987,0.8671875,1.2399193048477173,1.9851409196853638
runs/module_c_ablation/module_c_no_classification_feedback_雾天_iter01_20260822_082835,module_c_no_classification_feedback_雾天_iter01_20260822_082835,no_classification_feedback,雾天,46,44.0,0.9772727272727273,0.9773454686287616,0.9940828402366864,0.016810112963959067,runs/module_c_ablation/module_c_no_classification_feedback_雾天_iter01_20260822_082835/feature_embeddings.npz,0.10250652534887195,0.994140625,0.11012539407238364,0.5966308005154133,2.107044316828251,0.45011429861187935,0.3061751760542393,0.98828125,0.5595493987202644,1.5591473430395126
runs/module_c_ablation/module_c_no_classification_feedback_雾天_iter02_20260822_082835,module_c_no_classification_feedback_雾天_iter02_20260822_082835,no_classification_feedback,雾天,36,27.0,0.9772727272727273,0.9768058522996717,0.9861932938856016,0.008920566612874326,runs/module_c_ablation/module_c_no_classification_feedback_雾天_iter02_20260822_082835/feature_embeddings.npz,0.1607155967503786,0.9375,0.13694777991622686,0.37892362102866173,2.5517792254686356,0.45801789686083794,0.39289222471415997,0.953125,1.0169589444994926,1.7739866524934769
runs/module_c_ablation/module_c_no_classification_feedback_雾天_iter03_20260822_082835,module_c_no_classification_feedback_雾天_iter03_20260822_082835,no_classification_feedback,雾天,69,60.0,0.9848484848484849,0.9830499893991956,1.0,0.015151515151515138,runs/module_c_ablation/module_c_no_classification_feedback_雾天_iter03_20260822_082835/feature_embeddings.npz,0.08408882422372699,1.0,0.08263516426086426,0.5392524339258671,2.045911818742752,0.4766595382243395,0.28213522024452686,0.994140625,0.48720868676900864,1.5160110890865326
runs/module_c_ablation/module_c_no_classification_feedback_黑天_iter01_20260822_082835,module_c_no_classification_feedback_黑天_iter01_20260822_082835,no_classification_feedback,黑天,50,41.0,0.9666666666666667,0.9556670327110579,0.9720430107526882,0.005376344086021501,runs/module_c_ablation/module_c_no_classification_feedback_黑天_iter01_20260822_082835/feature_embeddings.npz,0.1153396854797999,1.0,0.12562008549769718,0.3330889860788981,2.0176421403884888,0.3504377235968908,0.27704681158065797,0.9895833333333334,0.3801403125127157,1.529032794634501
runs/module_c_ablation/module_c_no_classification_feedback_黑天_iter02_20260822_082835,module_c_no_classification_feedback_黑天_iter02_20260822_082835,no_classification_feedback,黑天,26,17.0,0.8666666666666667,0.8423059556847716,0.9290322580645162,0.062365591397849474,runs/module_c_ablation/module_c_no_classification_feedback_黑天_iter02_20260822_082835/feature_embeddings.npz,0.1639974315961202,0.9354166666666667,0.16804860333601634,0.5882123291492463,2.530317179361979,0.3621247907479604,0.38719605406125385,0.95625,0.9604270219802856,1.7941653649012248
runs/module_c_ablation/module_c_no_classification_feedback_黑天_iter03_20260822_082835,module_c_no_classification_feedback_黑天_iter03_20260822_082835,no_classification_feedback,黑天,47,38.0,0.975,0.9644283185949852,0.9827956989247312,0.007795698924731198,runs/module_c_ablation/module_c_no_classification_feedback_黑天_iter03_20260822_082835/feature_embeddings.npz,0.11832448542118072,0.99375,0.12372507254282633,0.42671700318654376,2.0552528381347654,0.45568458636601766,0.29382075667381286,0.99375,0.45750861167907714,1.5214731772740682
runs/module_c_ablation/module_c_no_cycle_逆光_iter01_20260820_185148,module_c_no_cycle_逆光_iter01_20260820_185148,no_cycle,逆光,26,17.0,1.0,1.0,0.9696969696969697,-0.030303030303030276,,0.2576691210269928,0.8,0.346999329328537,0.5574584603309631,2.946005630493164,0.6417690336704254,1.925230050086975,0.75,1.508077359199524,2.2922900199890135
runs/module_c_ablation/module_c_no_cycle_逆光_iter01_20260821_060834,module_c_no_cycle_逆光_iter01_20260821_060834,no_cycle,逆光,34,25.0,1.0,1.0,0.9772727272727273,-0.022727272727272707,runs/module_c_ablation/module_c_no_cycle_逆光_iter01_20260821_060834/feature_embeddings.npz,0.25691787004470823,0.88125,0.35796996355056765,1.135053038597107,2.863618564605713,1.0442464351654053,1.851461911201477,0.8375,1.4570389270782471,2.1175781726837157
